id;msisdn;first_name;last_name;effective;created_date;enabled
1;mobile Fish;Orval;Metz;true;2019-10-24T13:43:42;false
2;Small;Jadon;Streich;false;2019-10-24T03:02:46;false
3;deposit Tasty Metal Bacon Implementation;Abagail;Deckow;true;2019-10-24T13:04:16;true
4;Home Loan Account;Adaline;Keeling;false;2019-10-24T10:29:00;true
5;enable Gorgeous Frozen Pants;Darlene;Klocko;false;2019-10-23T22:37:44;true
6;syndicate;Wilma;McLaughlin;false;2019-10-24T16:21:29;true
7;Yuan Renminbi Centers;Adonis;White;true;2019-10-23T18:17:52;true
8;envisioneer Music Public-key;Dayne;Kessler;true;2019-10-24T14:32:38;true
9;backing up Salad;Giovanna;Gerhold;false;2019-10-24T01:34:21;true
10;convergence;Cordell;Lockman;true;2019-10-24T13:02:11;false
